func_id,ABC,DE,GA,PSO,WOA
1,4.89e+06 ± 7.3e+06,9.81e+07 ± 7.5e+07,5.39e+06 ± 3.3e+06,3.48e+08 ± 6.5e+08,1.17e+08 ± 1.9e+08
3,2.21e+01 ± 1.5e+01,3.50e+01 ± 1.9e+01,3.79e+01 ± 4.4e+01,1.41e+01 ± 1.9e+01,4.06e+01 ± 3.1e+01
4,4.48e+01 ± 1.6e+01,2.05e+02 ± 7.3e+01,6.15e+01 ± 1.6e+01,2.66e+02 ± 4.7e+02,2.53e+02 ± 2.0e+02
10,5.85e+03 ± 5.1e+03,3.25e+03 ± 3.0e+03,6.52e+03 ± 4.3e+03,1.34e+03 ± 2.3e+03,7.43e+03 ± 4.8e+03
11,3.08e+05 ± 5.9e+05,3.04e+06 ± 2.7e+06,1.96e+05 ± 1.8e+05,2.32e+06 ± 1.1e+07,5.57e+06 ± 8.0e+06
15,6.61e+03 ± 1.7e+04,3.85e+02 ± 3.6e+02,5.24e+03 ± 1.5e+04,4.36e+03 ± 1.2e+04,3.02e+03 ± 5.3e+03
20,2.99e+02 ± 6.0e+01,4.14e+02 ± 1.9e+02,2.03e+02 ± 7.7e+01,4.29e+02 ± 2.3e+02,2.45e+02 ± 6.2e+01
21,-3.57e+03 ± 5.5e+02,1.13e+02 ± 1.2e+00,-1.27e+03 ± 1.3e+03,6.99e+01 ± 2.3e+02,8.18e+01 ± 1.1e+02
25,3.92e+02 ± 1.5e+02,4.60e+02 ± 1.6e+01,4.76e+02 ± 9.8e+01,4.77e+02 ± 9.6e+01,4.55e+02 ± 8.8e+01
29,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
